Time,Channel A,Channel B
(ms),(V),(V)

-0.48582302,0.00259407,0.00869778
-0.48576702,0.00228889,0.00900296
-0.48571102,0.00198370,0.00900296
-0.48565502,0.00198370,0.00930815
-0.48559902,0.00183111,0.00946074
-0.48554302,0.00213630,0.00930815
-0.48548702,0.00198370,0.00900296
-0.48543102,0.00259407,0.00930815
-0.48537502,0.00289926,0.00915555
-0.48531902,0.00213630,0.00946074
-0.48526302,0.00244148,0.00915555
-0.48520702,0.00259407,0.00961333
-0.48515102,0.00259407,0.01022370
-0.48509502,0.00289926,0.01022370
-0.48503902,0.00259407,0.00976592
-0.48498302,0.00259407,0.00946074
-0.48492702,0.00244148,0.00961333
-0.48487102,0.00289926,0.00976592
-0.48481502,0.00289926,0.00946074
-0.48475902,0.00289926,0.00930815
-0.48470302,0.00289926,0.00991852
-0.48464702,0.00274667,0.00976592
-0.48459102,0.00274667,0.00991852
-0.48453502,0.00228889,0.00991852
-0.48447902,0.00198370,0.01022370
-0.48442302,0.00167852,0.01022370
-0.48436702,0.00183111,0.01007111
-0.48431102,0.00183111,0.00930815
-0.48425502,0.00106815,0.00976592
-0.48419902,0.00137333,0.00946074
-0.48414302,0.00167852,0.00900296
-0.48408702,0.00122074,0.00915555
-0.48403102,0.00183111,0.00885037
-0.48397502,0.00183111,0.00854518
-0.48391902,0.00213630,0.00869778
-0.48386302,0.00198370,0.00854518
-0.48380702,0.00198370,0.00885037
-0.48375102,0.00152593,0.00885037
-0.48369502,0.00106815,0.00885037
-0.48363902,0.00076296,0.00885037
-0.48358302,0.00015259,0.00869778
-0.48352702,0.00061037,0.00869778
-0.48347102,0.00015259,0.00869778
-0.48341502,0.00015259,0.00839259
-0.48335902,0.00045778,0.00839259
-0.48330302,0.00030519,0.00824000
-0.48324702,0.00015259,0.00793481
-0.48319102,-0.00030519,0.00793481
-0.48313502,-0.00045778,0.00824000
-0.48307902,-0.00061037,0.00762963
-0.48302302,-0.00106815,0.00778222
-0.48296702,-0.00106815,0.00778222
-0.48291102,-0.00106815,0.00747704
-0.48285502,-0.00076296,0.00793481
-0.48279902,-0.00030519,0.00762963
-0.48274302,-0.00030519,0.00793481
-0.48268702,-0.00030519,0.00808741
-0.48263102,0.00000000,0.00793481
-0.48257502,0.00000000,0.00839259
-0.48251902,-0.00030519,0.00915555
-0.48246302,0.00000000,0.00946074
-0.48240702,0.00015259,0.00900296
-0.48235102,0.00045778,0.00946074
-0.48229502,0.00122074,0.00915555
-0.48223902,0.00091556,0.00961333
-0.48218302,0.00106815,0.00930815
-0.48212702,0.00061037,0.00900296
-0.48207102,0.00106815,0.00915555
-0.48201502,0.00137333,0.00900296
-0.48195902,0.00167852,0.00885037
-0.48190302,0.00198370,0.00885037
-0.48184702,0.00198370,0.00900296
-0.48179102,0.00259407,0.00900296
-0.48173502,0.00244148,0.00915555
-0.48167902,0.00274667,0.00930815
-0.48162302,0.00289926,0.00915555
-0.48156702,0.00305185,0.00885037
-0.48151102,0.00350963,0.00915555
-0.48145502,0.00396741,0.00976592
-0.48139902,0.00427259,0.00961333
-0.48134302,0.00473037,0.00976592
-0.48128702,0.00473037,0.01007111
-0.48123102,0.00488296,0.01037629
-0.48117502,0.00427259,0.01052889
-0.48111902,0.00457778,0.01052889
-0.48106302,0.00488296,0.01037629
-0.48100702,0.00473037,0.01007111
-0.48095102,0.00518815,0.00976592
-0.48089502,0.00564592,0.00930815
-0.48083902,0.00579852,0.00915555
-0.48078302,0.00610370,0.00869778
-0.48072702,0.00595111,0.00869778
-0.48067102,0.00656148,0.00778222
-0.48061502,0.00579852,0.00808741
-0.48055902,0.00534074,0.00778222
-0.48050302,0.00564592,0.00793481
-0.48044702,0.00610370,0.00747704
-0.48039102,0.00595111,0.00778222
-0.48033502,0.00640889,0.00808741
-0.48027902,0.00595111,0.00762963
-0.48022302,0.00595111,0.00732444
-0.48016702,0.00625629,0.00732444
-0.48011102,0.00656148,0.00732444
-0.48005502,0.00656148,0.00701926
-0.47999902,0.00640889,0.00671407
-0.47994302,0.00671407,0.00686667
-0.47988702,0.00671407,0.00656148
-0.47983102,0.00717185,0.00717185
-0.47977502,0.00701926,0.00686667
-0.47971902,0.00640889,0.00640889
-0.47966302,0.00671407,0.00610370
-0.47960702,0.00686667,0.00625629
-0.47955102,0.00656148,0.00595111
-0.47949502,0.00686667,0.00610370
-0.47943902,0.00686667,0.00610370
-0.47938302,0.00732444,0.00564592
-0.47932702,0.00717185,0.00503555
-0.47927102,0.00732444,0.00488296
-0.47921502,0.00732444,0.00503555
-0.47915902,0.00732444,0.00518815
-0.47910302,0.00686667,0.00534074
-0.47904702,0.00686667,0.00579852
-0.47899102,0.00656148,0.00579852
-0.47893502,0.00625629,0.00534074
-0.47887902,0.00564592,0.00564592
-0.47882302,0.00595111,0.00579852
-0.47876702,0.00610370,0.00610370
-0.47871102,0.00549333,0.00610370
-0.47865502,0.00503555,0.00640889
-0.47859902,0.00534074,0.00671407
-0.47854302,0.00503555,0.00640889
-0.47848702,0.00518815,0.00671407
-0.47843102,0.00473037,0.00717185
-0.47837502,0.00427259,0.00732444
-0.47831902,0.00381481,0.00762963
-0.47826302,0.00381481,0.00808741
-0.47820702,0.00350963,0.00824000
-0.47815102,0.00320444,0.00778222
-0.47809502,0.00335704,0.00808741
-0.47803902,0.00274667,0.00762963
-0.47798302,0.00259407,0.00778222
-0.47792702,0.00274667,0.00808741
-0.47787102,0.00198370,0.00824000
-0.47781502,0.00167852,0.00869778
-0.47775902,0.00137333,0.00885037
-0.47770302,0.00137333,0.00885037
-0.47764702,0.00167852,0.00869778
-0.47759102,0.00167852,0.00915555
-0.47753502,0.00183111,0.00946074
-0.47747902,0.00183111,0.00961333
-0.47742302,0.00183111,0.00961333
-0.47736702,0.00152593,0.00976592
-0.47731102,0.00167852,0.00961333
-0.47725502,0.00137333,0.00885037
-0.47719902,0.00167852,0.00900296
-0.47714302,0.00167852,0.00915555
-0.47708702,0.00152593,0.00854518
-0.47703102,0.00106815,0.00854518
-0.47697502,0.00091556,0.00854518
-0.47691902,0.00122074,0.00839259
-0.47686302,0.00076296,0.00869778
-0.47680702,0.00045778,0.00854518
-0.47675102,0.00061037,0.00869778
-0.47669502,0.00106815,0.00930815
-0.47663902,0.00152593,0.00900296
-0.47658302,0.00167852,0.00915555
-0.47652702,0.00183111,0.00885037
-0.47647102,0.00213630,0.00885037
-0.47641502,0.00198370,0.00915555
-0.47635902,0.00152593,0.00976592
-0.47630302,0.00137333,0.00976592
-0.47624702,0.00213630,0.01022370
-0.47619102,0.00183111,0.01022370
-0.47613502,0.00167852,0.01022370
-0.47607902,0.00244148,0.01068148
-0.47602302,0.00244148,0.01037629
-0.47596702,0.00274667,0.01037629
-0.47591102,0.00228889,0.01037629
-0.47585502,0.00213630,0.01022370
-0.47579902,0.00213630,0.00976592
-0.47574302,0.00152593,0.00991852
-0.47568702,0.00122074,0.00976592
-0.47563102,0.00137333,0.00976592
-0.47557502,0.00167852,0.00900296
-0.47551902,0.00137333,0.00885037
-0.47546302,0.00183111,0.00991852
-0.47540702,0.00137333,0.00961333
-0.47535102,0.00137333,0.00961333
-0.47529502,0.00213630,0.01022370
-0.47523902,0.00244148,0.01022370
-0.47518302,0.00274667,0.00991852
-0.47512702,0.00289926,0.01037629
-0.47507103,0.00335704,0.01022370
-0.47501503,0.00335704,0.01022370
-0.47495903,0.00366222,0.01007111
-0.47490303,0.00335704,0.00976592
-0.47484703,0.00366222,0.00976592
-0.47479103,0.00320444,0.00961333
-0.47473503,0.00305185,0.00946074
-0.47467903,0.00350963,0.00915555
-0.47462303,0.00350963,0.00854518
-0.47456703,0.00381481,0.00839259
-0.47451103,0.00350963,0.00869778
-0.47445503,0.00320444,0.00824000
-0.47439903,0.00366222,0.00854518
-0.47434303,0.00381481,0.00869778
-0.47428703,0.00320444,0.00854518
-0.47423103,0.00335704,0.00839259
-0.47417503,0.00305185,0.00824000
-0.47411903,0.00320444,0.00839259
-0.47406303,0.00320444,0.00839259
-0.47400703,0.00305185,0.00854518
-0.47395103,0.00350963,0.00824000
-0.47389503,0.00320444,0.00824000
-0.47383903,0.00305185,0.00824000
-0.47378303,0.00320444,0.00900296
-0.47372703,0.00335704,0.00885037
-0.47367103,0.00350963,0.00854518
-0.47361503,0.00350963,0.00930815
-0.47355903,0.00366222,0.00961333
-0.47350303,0.00366222,0.00961333
-0.47344703,0.00350963,0.01007111
-0.47339103,0.00350963,0.01022370
-0.47333503,0.00335704,0.00930815
-0.47327903,0.00366222,0.00915555
-0.47322303,0.00366222,0.00946074
-0.47316703,0.00305185,0.00946074
-0.47311103,0.00305185,0.00961333
-0.47305503,0.00274667,0.00915555
-0.47299903,0.00305185,0.00915555
-0.47294303,0.00335704,0.00930815
-0.47288703,0.00305185,0.00946074
-0.47283103,0.00320444,0.01007111
-0.47277503,0.00350963,0.00991852
-0.47271903,0.00350963,0.00930815
-0.47266303,0.00274667,0.00991852
-0.47260703,0.00259407,0.00976592
-0.47255103,0.00274667,0.00946074
-0.47249503,0.00289926,0.00946074
-0.47243903,0.00305185,0.00946074
-0.47238303,0.00274667,0.00946074
-0.47232703,0.00320444,0.00930815
-0.47227103,0.00305185,0.00946074
-0.47221503,0.00366222,0.00946074
-0.47215903,0.00366222,0.00991852
-0.47210303,0.00427259,0.00976592
-0.47204703,0.00457778,0.00961333
-0.47199103,0.00442518,0.00946074
-0.47193503,0.00473037,0.00991852
-0.47187903,0.00396741,0.00946074
-0.47182303,0.00396741,0.00915555
-0.47176703,0.00381481,0.00915555
-0.47171103,0.00350963,0.00869778
-0.47165503,0.00381481,0.00824000
-0.47159903,0.00396741,0.00824000
-0.47154303,0.00412000,0.00915555
-0.47148703,0.00381481,0.00946074
-0.47143103,0.00412000,0.00946074
-0.47137503,0.00427259,0.00930815
-0.47131903,0.00427259,0.00930815
-0.47126303,0.00427259,0.00961333
-0.47120703,0.00427259,0.00946074
-0.47115103,0.00442518,0.00930815
-0.47109503,0.00396741,0.00961333
-0.47103903,0.00381481,0.00915555
-0.47098303,0.00350963,0.00900296
-0.47092703,0.00427259,0.00930815
-0.47087103,0.00442518,0.00900296
-0.47081503,0.00427259,0.00900296
-0.47075903,0.00412000,0.00900296
-0.47070303,0.00427259,0.00900296
-0.47064703,0.00396741,0.00885037
-0.47059103,0.00457778,0.00900296
-0.47053503,0.00457778,0.00915555
-0.47047903,0.00473037,0.00839259
-0.47042303,0.00488296,0.00869778
-0.47036703,0.00488296,0.00854518
