Time,Channel A,Channel B
(ms),(V),(V)

-0.48042221,0.00915555,0.00366222
-0.48036621,0.00900296,0.00350963
-0.48031021,0.00900296,0.00289926
-0.48025421,0.00869778,0.00244148
-0.48019821,0.00885037,0.00198370
-0.48014221,0.00885037,0.00152593
-0.48008621,0.00930815,0.00091556
-0.48003021,0.00900296,0.00015259
-0.47997421,0.00915555,-0.00015259
-0.47991821,0.00915555,-0.00122074
-0.47986221,0.00930815,-0.00167852
-0.47980621,0.00900296,-0.00167852
-0.47975021,0.00839259,-0.00167852
-0.47969421,0.00839259,-0.00198370
-0.47963821,0.00854518,-0.00213630
-0.47958221,0.00854518,-0.00198370
-0.47952621,0.00824000,-0.00152593
-0.47947021,0.00839259,-0.00183111
-0.47941421,0.00808741,-0.00152593
-0.47935821,0.00808741,-0.00076296
-0.47930221,0.00824000,-0.00015259
-0.47924621,0.00808741,0.00091556
-0.47919021,0.00854518,0.00091556
-0.47913421,0.00869778,0.00152593
-0.47907821,0.00885037,0.00198370
-0.47902221,0.00915555,0.00244148
-0.47896621,0.00915555,0.00320444
-0.47891021,0.00915555,0.00320444
-0.47885421,0.00900296,0.00396741
-0.47879821,0.00961333,0.00381481
-0.47874221,0.00976592,0.00412000
-0.47868621,0.00961333,0.00473037
-0.47863021,0.00961333,0.00473037
-0.47857421,0.01037629,0.00488296
-0.47851821,0.01083407,0.00457778
-0.47846221,0.01068148,0.00473037
-0.47840621,0.01052889,0.00442518
-0.47835021,0.01098666,0.00412000
-0.47829421,0.01113926,0.00442518
-0.47823821,0.01113926,0.00457778
-0.47818221,0.01083407,0.00442518
-0.47812621,0.01068148,0.00412000
-0.47807021,0.01068148,0.00305185
-0.47801421,0.01068148,0.00228889
-0.47795821,0.01144444,0.00183111
-0.47790221,0.01174963,0.00167852
-0.47784621,0.01190222,0.00137333
-0.47779021,0.01174963,0.00152593
-0.47773421,0.01190222,0.00106815
-0.47767821,0.01144444,0.00152593
-0.47762221,0.01129185,0.00152593
-0.47756621,0.01144444,0.00137333
-0.47751021,0.01174963,0.00091556
-0.47745421,0.01159703,0.00045778
-0.47739821,0.01159703,0.00106815
-0.47734221,0.01174963,0.00167852
-0.47728621,0.01159703,0.00213630
-0.47723021,0.01144444,0.00289926
-0.47717421,0.01174963,0.00335704
-0.47711821,0.01159703,0.00427259
-0.47706221,0.01190222,0.00488296
-0.47700621,0.01144444,0.00534074
-0.47695021,0.01144444,0.00579852
-0.47689421,0.01098666,0.00640889
-0.47683821,0.01113926,0.00717185
-0.47678221,0.01083407,0.00762963
-0.47672621,0.01083407,0.00808741
-0.47667021,0.01098666,0.00854518
-0.47661421,0.01113926,0.00915555
-0.47655821,0.01052889,0.00900296
-0.47650221,0.01037629,0.00885037
-0.47644621,0.01052889,0.00900296
-0.47639021,0.01098666,0.00900296
-0.47633421,0.01113926,0.00900296
-0.47627821,0.01144444,0.00961333
-0.47622221,0.01144444,0.00946074
-0.47616621,0.01083407,0.00946074
-0.47611021,0.01037629,0.00869778
-0.47605421,0.01022370,0.00839259
-0.47599821,0.01052889,0.00747704
-0.47594221,0.01052889,0.00717185
-0.47588621,0.01068148,0.00625629
-0.47583021,0.01068148,0.00503555
-0.47577421,0.01083407,0.00427259
