time,eng_strain1,eng_strain3,true_strain1,true_strain3,eng_stress1,eng_stress3,true_stress1,true_stress3,eng_strain1_rate,eng_strain3_rate,true_strain1_rate,true_strain3_rate,disp_1,disp_3,force_t,force_i,force_3,vel_1,vel_3,strain_i,strain_r,strain_t,tag,filename,Raw_Incident_Voltage,Raw_Transmitted_Voltage,Adjusted_Incident_Voltage,Adjusted_Reflected_Voltage,Adjusted_Transmitted_Voltage,Export_Date
2e-05,-0.000419498967986689,-0.000105766932025824,-0.000419586982294192,-0.000105772525742176,-9927612.17252163,8336896.37168,-9923447.54946068,8336014.60372815,-21.3709243600824,-5.31638162977546,-21.3801217564733,-5.3169581216663,-2.66381844671548e-06,-6.71620018363982e-07,-314.399708587254,264.022983999441,-25.1883622939068,-0.137485513791524,-0.0342040666665741,-4.54728271352381e-06,1.44721593464762e-05,-1.18185859196686e-05,,,0.00305185,0.00961333,-0.0074059979047619,0.0235702920952381,-0.0192485112698186,
2.1e-05,-0.000440869892346772,-0.000111083313655599,-0.000440967104050666,-0.000111089483863842,-9770212.53572163,8022091.94048,-9765905.1431728,8021200.8199248,-21.0905867057518,-5.35142326245263,-21.1001116173274,-5.35203210438016,-2.799523816402e-06,-7.05379041713057e-07,-309.414985263892,254.053374015561,-27.6808056241656,-0.133925225581524,-0.0333139800315741,-4.54728271352381e-06,1.40973921664762e-05,-1.16312053996686e-05,,,0.00305185,0.00976592,-0.0074059979047619,0.0229599220952381,-0.0189433312698186,
2.2e-05,-0.000461960479052523,-0.000116434736918052,-0.000462067215667993,-0.000116441515968222,-9848912.35412163,7707287.50928,-9844362.54585237,7706390.11328651,-21.0905867057518,-5.59671928410616,-21.100556841432,-5.59738667788972,-2.93344904198352e-06,-7.39360579429631e-07,-311.907346925573,244.083764031681,-33.9117914469459,-0.133925225581524,-0.0346490954015741,-4.92204989352381e-06,1.40973921664762e-05,-1.17248956596686e-05,,,0.00289926,0.00961333,-0.0080163679047619,0.0229599220952381,-0.0190959212698186,
2.3e-05,-0.000483051065758275,-0.000122031456202158,-0.000483167772509425,-0.000122038902646112,-9612807.74132163,7628587.69088,-9608164.26429725,7627656.76321532,-20.9504201750431,-5.561677651429,-20.9607648640147,-5.5623719038397,-3.06737426756505e-06,-7.74899746883705e-07,-304.430098603374,241.59140237,-31.419348116687,-0.133925225581524,-0.0364292395065741,-5.01574015352381e-06,1.40973921664762e-05,-1.14438187396686e-05,,,0.00350963,0.01007111,-0.0081689579047619,0.0229599220952381,-0.0186381412698186,
2.4e-05,-0.000504001485933318,-0.000127593133853587,-0.00050412853737344,-0.000127601274549952,-9770212.53572163,7549887.87248001,-9765288.33408574,7548924.55862611,-20.6700825207125,-5.24629606796443,-20.6807193708306,-5.24697931016669,-3.20040943567657e-06,-8.10216399970279e-07,-309.414985263892,239.09904070832,-35.1579722777863,-0.132145110641524,-0.0342040666665741,-4.92204989352381e-06,1.39100116464762e-05,-1.16312053996686e-05,,,0.00366222,0.0102237,-0.0080163679047619,0.0226547420952381,-0.0189433312698186,
2.5e-05,-0.000524671568454031,-0.000132839429921552,-0.000524809256744271,-0.000132848253860118,-9770212.53572163,7549887.87248,-9765086.38298638,7548884.94967905,-20.2495737427596,-4.86082892268888,-20.2604089363525,-4.86148653512929,-3.33166445968309e-06,-8.43530380001853e-07,-309.414985263892,239.09904070832,-35.1579722777864,-0.130364937371524,-0.0324238933965741,-4.73466323352381e-06,1.37226249864762e-05,-1.16312053996686e-05,,,0.00350963,0.01068148,-0.0077111779047619,0.0223495520952381,-0.0189433312698186,
2.6e-05,-0.00054492114219679,-0.000137700258844241,-0.000545069665680623,-0.000137709740395248,-10085016.9669216,7156383.62288,-10079521.4279569,7155398.18700274,-19.969236088429,-4.7907456573345,-19.9803232855267,-4.7914169139898,-3.46024925294962e-06,-8.74396643660927e-07,-319.384595247772,226.637069062759,-46.3737630925064,-0.126804649161524,-0.0293086339215741,-4.82835349352381e-06,1.33478578064762e-05,-1.20059725796686e-05,,,0.00320444,0.01129185,-0.0078637679047619,0.0217391820952381,-0.0195537012698186,
2.7e-05,-0.000564890378285219,-0.000142491004501575,-0.00056504998896615,-0.000142501157309237,-9691507.55972163,7156383.62288,-9686032.92035006,7155363.90258898,-20.0393193537832,-4.89587285182271,-20.0508467875521,-4.8965825572954,-3.58705390211114e-06,-9.04817878585001e-07,-306.922460265055,226.637069062759,-40.1426956011482,-0.126804649161524,-0.0315338359265741,-4.82835349352381e-06,1.33478578064762e-05,-1.15375089996686e-05,,,0.00305185,0.01144444,-0.0078637679047619,0.0217391820952381,-0.0187907312698186,
2.8e-05,-0.000584929697639003,-0.000147386877353398,-0.000585100835753702,-0.000147397739866533,-10085016.9669216,7077678.64688,-10079117.9409965,7076635.48992533,-20.2495737427598,-4.7907479537912,-20.2616305175989,-4.7914656303052,-3.71430358000767e-06,-9.35906671194076e-07,-319.384595247772,224.144544063922,-47.6200255919248,-0.127694706631524,-0.0306437492915741,-5.01574015352381e-06,1.34415480664762e-05,-1.20059725796686e-05,,,0.00305185,0.01190222,-0.0081689579047619,0.0218917720952381,-0.0195537012698186,
2.9e-05,-0.000605179271381762,-0.000152177625307189,-0.000605362466271301,-0.000152189205496838,-10242416.6037216,7313783.25968,-10236218.1055042,7312670.26551153,-20.5299113970904,-4.9659584136337,-20.542554194115,-4.96672657064926,-3.84288837327419e-06,-9.6632792070065e-07,-324.369318571134,231.621792386121,-46.3737630925064,-0.129474879901524,-0.0301987497215741,-4.92204989352381e-06,1.36289347264762e-05,-1.21933530996686e-05,,,0.00320444,0.01129185,-0.0080163679047619,0.0221969620952381,-0.0198588812698186,
3e-05,-0.000625709182778853,-0.000157143583720823,-0.000625905020465416,-0.000157155932067487,-10163716.7853216,7235083.44128,-10157357.2543979,7233946.49433952,-20.5299113970903,-5.10612724079912,-20.5429761994281,-5.1069428023497,-3.97325331064571e-06,-9.97861756627224e-07,-321.876956909453,229.12943072444,-46.3737630925064,-0.131254994841524,-0.0328689221315741,-5.20312067352381e-06,1.38163152464762e-05,-1.20996628396686e-05,,,0.00305185,0.01129185,-0.0084741379047619,0.0225021420952381,-0.0197062912698186,
3.1e-05,-0.000646239094175943,-0.000162249710961622,-0.000646447996664844,-0.000162262874869837,-10006311.9909216,7235083.44128,-9999845.52092457,7233909.55108287,-20.2495737427595,-4.89587514827938,-20.2628735618283,-4.89668162025021,-4.10361824801724e-06,-1.0302856646063e-06,-316.892070248935,229.12943072444,-43.8813197622475,-0.129474879901524,-0.0319788938265741,-5.01574015352381e-06,1.36289347264762e-05,-1.19122761796686e-05,,,0.00335704,0.01098666,-0.0081689579047619,0.0221969620952381,-0.0194011012698186,
